"filename", "language", "TypeScript", "WGSL", "comment", "blank", "total"
"d:\BaiduNetdiskDownload\Web-RTRT\src\bvh.ts", "TypeScript", 231, 0, 6, 15, 252
"d:\BaiduNetdiskDownload\Web-RTRT\src\camera.ts", "TypeScript", 83, 0, 11, 10, 104
"d:\BaiduNetdiskDownload\Web-RTRT\src\computeWorker.ts", "TypeScript", 21, 0, 0, 4, 25
"d:\BaiduNetdiskDownload\Web-RTRT\src\device.ts", "TypeScript", 42, 0, 1, 5, 48
"d:\BaiduNetdiskDownload\Web-RTRT\src\display.ts", "TypeScript", 113, 0, 1, 6, 120
"d:\BaiduNetdiskDownload\Web-RTRT\src\gltf.ts", "TypeScript", 371, 0, 26, 26, 423
"d:\BaiduNetdiskDownload\Web-RTRT\src\main.ts", "TypeScript", 74, 0, 0, 15, 89
"d:\BaiduNetdiskDownload\Web-RTRT\src\modelView.ts", "TypeScript", 63, 0, 10, 31, 104
"d:\BaiduNetdiskDownload\Web-RTRT\src\raytracing.ts", "TypeScript", 589, 0, 24, 19, 632
"d:\BaiduNetdiskDownload\Web-RTRT\src\sample.ts", "TypeScript", 319, 0, 62, 17, 398
"d:\BaiduNetdiskDownload\Web-RTRT\src\screenBuffer.ts", "TypeScript", 70, 0, 4, 4, 78
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\basic.instanced.vert.wgsl", "WGSL", 0, 18, 0, 4, 22
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\compute.position.wgsl", "WGSL", 0, 50, 10, 5, 65
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\display.wgsl", "WGSL", 0, 30, 17, 6, 53
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\lightUpdate.wgsl", "WGSL", 0, 46, 0, 2, 48
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\manager.ts", "TypeScript", 52, 0, 0, 7, 59
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\position.frag.wgsl", "WGSL", 0, 7, 0, 0, 7
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\BSDF.wgsl", "WGSL", 0, 66, 4, 10, 80
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\accumulate.wgsl", "WGSL", 0, 44, 6, 9, 59
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\common.wgsl", "WGSL", 0, 74, 2, 10, 86
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\light.wgsl", "WGSL", 0, 37, 2, 4, 43
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\rayGen.wgsl", "WGSL", 0, 131, 64, 23, 218
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\reservoir.wgsl", "WGSL", 0, 92, 11, 9, 112
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\sampleInit.wgsl", "WGSL", 0, 107, 12, 16, 135
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\slopeAABBTest.wgsl", "WGSL", 0, 535, 5, 33, 573
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\spatialReuse.wgsl", "WGSL", 0, 78, 15, 8, 101
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\tracing\trace.wgsl", "WGSL", 0, 142, 6, 19, 167
"d:\BaiduNetdiskDownload\Web-RTRT\src\shaders\vBuffer.wgsl", "WGSL", 0, 57, 15, 9, 81
"d:\BaiduNetdiskDownload\Web-RTRT\src\util\box.ts", "TypeScript", 43, 0, 1, 2, 46
"d:\BaiduNetdiskDownload\Web-RTRT\src\util\cube.ts", "TypeScript", 40, 0, 7, 2, 49
"d:\BaiduNetdiskDownload\Web-RTRT\src\util\math.ts", "TypeScript", 45, 0, 14, 7, 66
"d:\BaiduNetdiskDownload\Web-RTRT\src\utils.ts", "TypeScript", 4, 0, 0, 1, 5
"d:\BaiduNetdiskDownload\Web-RTRT\src\vBuffer.ts", "TypeScript", 159, 0, 18, 11, 188
"Total", "-", 2319, 1514, 354, 349, 4536
